None,ticker,volume,adj_close
139,AAPL,50999452.0,119.86400001974
140,AAPL,42162332.0,119.23192715291
141,AAPL,44455540.0,117.57513009287
142,AAPL,33618097.0,118.15931865161
143,AAPL,37011653.0,117.78582104848
144,AAPL,33628268.0,117.19205562812
145,AAPL,42884953.0,116.16733143492
146,AAPL,69975968.0,113.42834901197
147,AAPL,124138623.0,109.78914159686
148,AAPL,98384461.0,110.51698307988
149,AAPL,52903040.0,110.75640462035
150,AAPL,38670405.0,111.13158917522
151,AAPL,54951597.0,115.17203822764
152,AAPL,97082814.0,109.17870546655
153,AAPL,101685610.0,110.86222590506
154,AAPL,48535789.0,110.77564485393
155,AAPL,42929516.0,111.55487431404
156,AAPL,40884745.0,112.70928832902
157,AAPL,34560708.0,112.07436062078
158,AAPL,48286510.0,110.64096321885
